A     B     PRODUCT
0000  0000  00000000  true condition
0000  0001  00000000  true condition
0000  0010  00000000  true condition
0000  0011  00000000  true condition
0000  0100  00000000  true condition
0000  0101  00000000  true condition
0000  0110  00000000  true condition
0000  0111  00000000  true condition
0000  1000  00000000  true condition
0000  1001  00000000  true condition
0000  1010  00000000  true condition
0000  1011  00000000  true condition
0000  1100  00000000  true condition
0000  1101  00000000  true condition
0000  1110  00000000  true condition
0000  1111  00000000  true condition
0001  0000  00000000  true condition
0001  0001  00000001  true condition
0001  0010  00000010  true condition
0001  0011  00000011  true condition
0001  0100  00000100  true condition
0001  0101  00000101  true condition
0001  0110  00000110  true condition
0001  0111  00000111  true condition
0001  1000  00001000  true condition
0001  1001  00001001  true condition
0001  1010  00001010  true condition
0001  1011  00001011  true condition
0001  1100  00001100  true condition
0001  1101  00001101  true condition
0001  1110  00001110  true condition
0001  1111  00001111  true condition
0010  0000  00000000  true condition
0010  0001  00000010  true condition
0010  0010  00000100  true condition
0010  0011  00000110  true condition
0010  0100  00001000  true condition
0010  0101  00001010  true condition
0010  0110  00001100  true condition
0010  0111  00001110  true condition
0010  1000  00010000  true condition
0010  1001  00010010  true condition
0010  1010  00010100  true condition
0010  1011  00010110  true condition
0010  1100  00011000  true condition
0010  1101  00011010  true condition
0010  1110  00011100  true condition
0010  1111  00011110  true condition
0011  0000  00000000  true condition
0011  0001  00000011  true condition
0011  0010  00000110  true condition
0011  0011  00001001  true condition
0011  0100  00001100  true condition
0011  0101  00001111  true condition
0011  0110  00010010  true condition
0011  0111  00010101  true condition
0011  1000  00011000  true condition
0011  1001  00011011  true condition
0011  1010  00011110  true condition
0011  1011  00100001  true condition
0011  1100  00100100  true condition
0011  1101  00100111  true condition
0011  1110  00101010  true condition
0011  1111  00101101  true condition
0100  0000  00000000  true condition
0100  0001  00000100  true condition
0100  0010  00001000  true condition
0100  0011  00001100  true condition
0100  0100  00010000  true condition
0100  0101  00010100  true condition
0100  0110  00011000  true condition
0100  0111  00011100  true condition
0100  1000  00100000  true condition
0100  1001  00100100  true condition
0100  1010  00101000  true condition
0100  1011  00101100  true condition
0100  1100  00110000  true condition
0100  1101  00110100  true condition
